DOIs (Digital Object Identifiers),Title,Abstract,Person,Journal title,Sustainable Development Goals
https://doi.org/https://doi.org/10.1080/13600869.2023.2192567,A first critical analysis of the European approach to damage caused by artificial intelligence enabled by global navigation satellite systems. A bridge to nowhere or a cloud with a silver lining?,,"Bratu, I.","International review of law, computers and technology","SDG 9 - Industry, Innovation, and Infrastructure (+2 more)"
https://doi.org/10.1137/17M1162019,A floer homology approach to traveling waves in reaction-diffusion equations on cylinders,"<p>Traveling waves form a prominent feature in the dynamics of scalar reaction-diffusion equations on unbounded cylinders. The traveling waves can be identified with the bounded solutions of the (Formula Prtsented) Ω ⊂ R d is a bounded domain, Δ is the Laplacian on Ω, and B denotes Dirichlet, Neumann, or periodic boundary data. We develop a new homological invariant for the dynamics of the bounded solutions of the above elliptic PDE. Restrictions on the nonlinearity f are kept to a minimum; for instance, any nonlinearity exhibiting polynomial growth in u can be considered. In particular, the set of bounded solutions of the traveling wave PDE may not be uniformly bounded. Despite this, the homology is invariant under lower order (but not necessarily small) perturbations of the nonlinearity f, thus making the homology amenable for computation. Using the new invariant we derive lower bounds on the number of bounded solutions of our PDE, thus obtaining existence and multiplicity results for traveling wave solutions of reaction-diffusion equations on unbounded cylinders.</p>","van der Vorst, R.C.A.M. (+1 more)",SIAM Journal on Applied Dynamical Systems,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.30924/mjcmi.25.2.6,A framework for digital transformation and business model innovation,"With the advent of the Fourth Industrial Revolution, businesses are adapting to the use of digitalisation which requires the digital transformation of their existing business models. However, there is limited empirical research on this phenomenon. The purpose of this study is twofold: (i) to develop a framework for businesses to digitally transform their business models and (ii) to examine literature in order to identify and analyse the constructs underlying the three concepts of Digitalisation, Digital Transformation and Business Model Innovation. The study is qualitative in nature and is based on a narrative review. Relevant articles were identified by using international bibliographic databases and scrutinised using thematic analysis. The findings reveal that the first two constructs require digital capabilities and a digital strategy. The third construct requires digital transformation in the realm of customer-centricity, resources, processes and profit. A set of propositions was formulated and the commonalities were mapped. Based upon this map, a conceptual framework was developed. The findings will assist in the development of future instruments that can guide businesses to digitally transform existing business model elements. This study aims to fill the gap on how business model innovation should be pursued through digital transformation by developing a conceptual framework.","van Tonder, C. (+1 more)",Management: Journal of Contemporary Management Issues,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1016/j.ress.2023.109194,A generalized natural hazard risk modelling framework for infrastructure failure cascades,"<p>Critical infrastructures are more exposed than ever to natural hazards in a changing climate. To understand and manage risk, failure cascades across large, real-world infrastructure networks, and their impact on people, must be captured. Bridging established methods in both infrastructure and risk modelling communities, we develop an open-source modelling framework which integrates a network-based interdependent infrastructure system model into the globally consistent and spatially explicit natural hazard risk assessment platform CLIMADA. The model captures infrastructure damages, triggers failure cascades and estimates resulting basic service disruptions for the dependent population. It flexibly operates on large areas with publicly available hazard, exposure and vulnerability information, for any set of infrastructure networks, hazards and geographies of interest. In a validated case study for 2018’s Hurricane Michael across three US states, the model reproduced important failure dynamics among six infrastructure networks, and provided a novel spatial map where people were likely to experience disruptions in access to healthcare, loss of power and other vital services. Our generalized approach allows for a view on infrastructure risks and their social impacts also in areas where detailed information and risk assessments are traditionally scarce, informing humanitarian activities through hotspot analyses and policy frameworks alike.</p>","Koks, E.E.",Reliability Engineering and System Safety,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1109/WI-IAT.2014.148,Agent-Based Simulation as a Tool for the Design of a Virtual Training Environment,"Virtual training is a relatively novel field in which human beings learn to perform certain tasks by repeatedly executing them in a virtual reality environment. To make such training environments more effective, the agent paradigm has proven to be a useful tool. By conceptualising a training system as a 'virtual tutor', the system may be able to support the trainee in a similar manner as human instructors do, among others by providing personalised feedback and adaptive training material. The current paper describes a project that has as aim to develop a virtual training environment for decision making under stress, targeted at professionals in the public domain. The main contribution is two-fold: first, a global overview of the project is presented. Second, a formal approach is put forward for the design of the training environment, based on agent-based simulation and verification. By generating a computational model of the envisioned system and formally analysing the resulting simulation runs, the behaviour of the system can be studied before its actual implementation, thus providing a method for rapid prototyping.","Bosse, T. (+2 more)",,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
https://doi.org/10.1007/s00168-008-0272-5,Agglomeration externalities and localized employment growth: The performance of industrial sites in Amsterdam,"This paper addresses the question to what extent the performance of industrial sites is affected by their local economic structure and accessibility. For this aim, we test for the existence of statistically significant relationships between agglomeration externalities (specialization, diversity, and competition), accessibilty measures and the employment growth of a particular industry on a particular site. We use data on employment growth of site-industries on 68 formal industrial sites in the municipality of Amsterdam between 1998 and 2006. We show that at the site-industry level, specialization hampers growth. Furthermore, we find that industrial sites that are easily accessible from the highway grow relatively fast, as well as sites located in the Amsterdam harbour area. © 2008 The Author(s).","de Vor, F. (+1 more)",The Annals of Regional Science,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1038/s41467-019-10442-3,A global multi-hazard risk analysis of road and railway infrastructure assets,"<p>Transport infrastructure is exposed to natural hazards all around the world. Here we present the first global estimates of multi-hazard exposure and risk to road and rail infrastructure. Results reveal that ~27% of all global road and railway assets are exposed to at least one hazard and ~7.5% of all assets are exposed to a 1/100 year flood event. Global Expected Annual Damages (EAD) due to direct damage to road and railway assets range from 3.1 to 22 billion US dollars, of which ~73% is caused by surface and river flooding. Global EAD are small relative to global GDP (~0.02%). However, in some countries EAD reach 0.5 to 1% of GDP annually, which is the same order of magnitude as national transport infrastructure budgets. A cost-benefit analysis suggests that increasing flood protection would have positive returns on ~60% of roads exposed to a 1/100 year flood event.</p>","Koks, E.E.",Nature Communications,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.3168/jds.2009-2372,A high-throughput cheese manufacturing model for effective cheese starter screening.,"Cheese making is a process in which enzymatic coagulation of milk is followed by protein separation, carbohydrate removal, and an extended bacterial fermentation. The number of variables in this complex process that influence cheese quality is so large that the developments of new manufacturing protocols are cumbersome. To reduce screening costs, several models have been developed to miniaturize the cheese manufacturing process. However, these models are not able to accommodate the throughputs required for systematic screening programs. Here, we describe a protocol that allows the parallel manufacturing of approximately 600 cheeses in individual cheese vats each with individual process specifications. Protocols for the production of miniaturized Gouda- and Cheddar-type cheeses have been developed. Starting with as little as 1.7 mL of milk, miniature cheeses of about 170 mg can be produced and they closely resemble conventionally produced cheese in terms of acidification profiles, moisture and salt contents, proteolysis, flavor profiles, and microstructure. Flavor profiling of miniature cheeses manufactured with and without mixed-strain adjunct starter cultures allowed the distinguishing of the different cheeses. Moreover, single-strain adjunct starter cultures engineered to overexpress important flavor-related enzymes revealed effects similar to those described in industrial cheese. Benchmarking against industrial cheese produced from the same raw materials established a good correlation between their proteolytic degradation products and their flavor profiles. These miniature cheeses, referred to as microcheeses, open new possibilities to study many aspects of cheese production, which will not only accelerate product development but also allow a more systematic approach to investigate the complex biochemistry and microbiology of cheese making. © American Dairy Science Association, 2009.","Bachmann, H. (+1 more)",Journal of Dairy Science,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1186/s13068-018-1037-8,Alignment of microbial fitness with engineered product formation,"<p>Background: Microbial bioengineering has the potential to become a key contributor to the future development of human society by providing sustainable, novel, and cost-effective production pipelines. However, the sustained productivity of genetically engineered strains is often a challenge, as spontaneous non-producing mutants tend to grow faster and take over the population. Novel strategies to prevent this issue of strain instability are urgently needed. Results: In this study, we propose a novel strategy applicable to all microbial production systems for which a genome-scale metabolic model is available that aligns the production of native metabolites to the formation of biomass. Based on well-established constraint-based analysis techniques such as OptKnock and FVA, we developed an in silico pipeline - FRUITS - that specifically 'Finds Reactions Usable in Tapping Side-products'. It analyses a metabolic network to identify compounds produced in anabolism that are suitable to be coupled to growth by deletion of their re-utilization pathway(s), and computes their respective biomass and product formation rates. When applied to Synechocystis sp. PCC6803, a model cyanobacterium explored for sustainable bioproduction, a total of nine target metabolites were identified. We tested our approach for one of these compounds, acetate, which is used in a wide range of industrial applications. The model-guided engineered strain shows an obligatory coupling between acetate production and photoautotrophic growth as predicted. Furthermore, the stability of acetate productivity in this strain was confirmed by performing prolonged turbidostat cultivations. Conclusions: This work demonstrates a novel approach to stabilize the production of target compounds in cyanobacteria that culminated in the first report of a photoautotrophic growth-coupled cell factory. The method developed is generic and can easily be extended to any other modeled microbial production system.</p>","Hellingwerf, K.J. (+2 more)",Biotechnology for Biofuels,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1093/icc/dtu038,Allocation of Human Capital and Innovation at the Frontier: Firm-level Evidence on Germany and the Netherlands,,"Dobbelaere, S. (+1 more)",Industrial and Corporate Change,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1109/MS.2019.2924498,A manifesto for energy-aware software,"<p>According to recent estimates, computing and communications could account for 20% of energy usage globally by 2025.1 This trend shows no sign of slowing. The annual growth in power consumption of Internet-connected devices is 20%. Data centers alone are now accounting for more than 3% of global emissions. Even if you are not worried about this trend on the mega scale, you are likely concerned with the power consumption of the devices in your pocket, on your wrist, and in your ears. Software, hardware, and network attributes all contribute to power usage, but little attention has been given to this topic by the information and communications technology (ICT) community.</p>","Lago, P.",IEEE Software,"SDG 9 - Industry, Innovation, and Infrastructure (+2 more)"
https://doi.org/10.1109/MC.2016.127,A Medium-Scale Distributed System for Computer Science Research: Infrastructure for the Long Term,"The Dutch Advanced School for Computing and Imaging has built five generations of a 200-node distributed system over nearly two decades while remaining aligned with the shifting computer science research agenda. The system has supported years of award-winning research, underlining the benefits of investing in a smaller-scale, tailored design.","van Nieuwpoort, R.V. (+2 more)",Computer,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1016/j.comnet.2016.03.023,A model for evaluating sharing policies for network-assisted HTTP adaptive streaming,,"van der Mei, R.D.",Computer Networks (1999),"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1016/j.indmarman.2015.10.004,An activities-based approach to network management,"<p>Over the last few decades, the industrial marketing literature and the business network literature have promoted a holistic approach to marketing and provided a framework for understanding interorganizational networks. However, our understanding of how interorganizational networks govern themselves when developing innovations is still limited. Most network management literature does not focus on the activities employed by network actors and/or does not recognize that there may be different modes of network management. This study explores how, why and in which combination network management activities are employed in a network and in doing so proposes a new conceptualization of network management. Using primary and secondary data pertaining to eleven innovation projects, this study reveals how network management consists of combinations of (rather than individual) management activities undertaken to manage a network. This study identifies three distinct modes of network management: basically coordinated, control-oriented and reward-oriented. Moreover, this study proposes that network actors try to match the management mode to their prevailing mental model as well as the type of network (e.g. in terms of project innovativeness).</p>","Klein Woolthuis, R.J.A.",Industrial Marketing Management,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1016/j.giq.2022.101763,An ecosystem perspective on developing data collaboratives for addressing societal issues: The role of conveners,"<p>With the open and big data movement in full swing, data sharing becomes more ubiquitous and more often crosses sectoral boundaries. The promise of data to help address societal issues and foster innovation requires public organizations to work together with businesses and researchers. Data collaboratives whereby actors collaborate to share and use data for public good gain increasing interest. Most of these collaborations, however, tend to be one-off, small, and limited in impact due to a complex web of legal, technical, ethical, commercial, and organizational challenges. Initiators of data collaboratives, termed as conveners, can potentially alleviate some of these concerns by playing various roles in developing a more sustainable data ecosystem for the data collaboratives. Our study investigates what convener roles are perceived to be critical in developing data collaboratives. By drawing on data ecosystems thinking, we developed a framework of convener roles and sub-roles which we further used to analyze four cases in the Netherlands and Sweden. We conclude that connecting role and learning catalyst role are critical at the initiation stage, while stimulating and mediating roles emerge as future critical roles as the data ecosystem develops. We further identified convener meta-roles that are associated with particular data ecosystem structures (keystone-centric, marketplace-based, intermediary-based, and platform-centric). Our research can be instrumental to actors leading the efforts of creating such data ecosystems as it provides insights on the needs and resources that can be leveraged to stimulate development and innovation.</p>","van den Broek, T.A.",Government Information Quarterly,"SDG 9 - Industry, Innovation, and Infrastructure (+2 more)"
https://doi.org/10.1111/1467-6435.00002,An empirical multi-country analysis of the impact of environmental regulations on foreign trade,,"van den Bergh, J.C.J.M.",Kyklos,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1145/1958746.1958785,A new business model for massively multiplayer online games,"Today, highly successful Massively Multiplayer Online Games (MMOGs) have millions of registered users and hundreds of thousands of active concurrent players. To sustain their highly variable load, game operators over-provision a large static infrastructure capable of sustaining the game peak load, even though a large portion of the resources is unused most of the time. This inefficient resource utilisation has negative economic impacts by preventing any but the largest hosting centres from joining the market and dramatically increases prices. In this paper, we propose a new business model of hosting and operating MMOGs based on Cloud computing principles involving four actors: resource provider, game operator, game provider, and client. Our model efficiently provisions on-demand virtualised resources to game sessions based on their dynamic client load, which dramatically decreases prices and gives small and medium enterprises the opportunity of joining the market through zero initial investment. We validate our new model and its underlying business relationships through trace-based simulations utilising six months worth of monitoring data from a real-life MMOG using emulated resources from 16 of the largest Cloud resource providers currently on the market. We demonstrate that our model can operate state-of-the-art MMOGs with an average monthly gross profit of nearly $6 million excluding game purchase prices, overheads and taxation, while being able to maintain and control the QoS offered to all clients. Finally, we show how our approach is capable of operating next generation very highly interactive MMOGs with a small increase of 5.8% in the subscription price.","Iosup, A.",,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1007/s10098-014-0733-8,A new look at measuring sustainability of industrial parks: a two-stage data envelopment analysis approach,,"Shabani, A.",Clean Technologies and Environmental Policy,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1016/j.ejor.2019.11.060,An exact approach for cyclic inbound inventory routing in a level production system,"<p>We study an inbound inventory routing problem concerned with the minimal-cost collection of distinct components from a network of suppliers and subsequent delivery to a manufacturing plant. We assume known and constant production of end products at the plant that generates a synchronized production of components at each supplier. The lean production philosophy motivates two distinctive features of our formulation. To facilitate standardized work, we consider inventory collection plans that are cyclic and repeatable into the near future. To support the notion of level production planning, we consider inventory collection plans such that the pickup amount at each supplier is a multiple of the daily demand and in exact proportion to the number of days since the last pickup. We study the polyhedron of the convex hull of our mathematical formulation and define new valid inequalities that we implement within our branch-and-cut algorithm for the problem. As our computational experiments confirm, our cyclic formulation is significantly more difficult to solve to optimality than the standard non-cyclic formulation. Regardless, our three-phase approach obtains competitive results for one-, two-, and three-vehicle instances over three- and six-period planning horizons.</p>","Paradiso, R.",European Journal of Operational Research,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1093/wber/16.2.241,"An Impact Evaluation of Education, Health, and Water Supply Investments by the Bolivian Social Investment Fund",,"Pradhan, M.P. (+1 more)",World Bank Economic Review,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1016/j.trb.2016.02.004,An integrated micro–macro approach to robust railway timetabling,,"Roberti, R.",Transportation Research. Part B: Methodological,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1145/3148011.3148014,An ontology-based approach to improve the accessibility of ROS-based robotic systems,"<p>The focus of this work is to exploit ontologies to make robotic systems more accessible to non-expert users, therefore supporting the deployment of robot-integrated applications. Due to the increasing number of robotic platforms available for commercial use, robotic systems are nowadays being approached by users with different backgrounds, who are often more interested in the robots' high-level capabilities than their technical architecture. Without the right expertise however, using robots is restricted to the capabilities exposed by the platform provider, i.e. they can only be used as end products rather than as development platforms. Our hypothesis is that an ontological representation of the capabilities of robots could make these capabilities more accessible, reducing the complexity of robot programming and enabling non-experts to exploit these systems to a much larger extent. To demonstrate this, an ontology abstracting the capabilities exposed by the most common robotic middleware (ROS) is integrated in a system to allow non-experts to program robots of different types and capabilities without previous knowledge either of the specific robotic platform being considered, or of the intricate systems used in its implementation. Our experiments, in which non-experts users had to configure the system in order to make robots achieve different tasks, show how the efforts required for realizing basic tasks using available robotic platforms can be sensibly reduced through our approach.</p>","Tiddi, I.",,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1111/iere.12122,"Anti-dumping, Intra-industry Trade, and Quality Reversals","We examine an export game where two (home and foreign) firms produce vertically differentiated products. The foreign firm is more R&D efficient and is based in a larger and richer market. The unique (risk-dominant) Nash equilibrium exhibits intra-industry trade, and the foreign producer manufactures a higher-quality product. When transport costs are low, unilateral dumping by the foreign firm arises; otherwise, reciprocal dumping occurs. For some parameters, a domestic antidumping policy leads to a quality reversal in the international market whereby the home firm becomes the quality leader. This policy is desirable for the implementing country, though world welfare decreases.","Moraga Gonzalez, J.L.",International Economic Review,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
https://doi.org/10.5194/acp-14-11657-2014,A pathway analysis of global aerosol processes,,"Schutgens, N.A.J.",Atmospheric Chemistry and Physics,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1016/S0377-2217(02)00467-8,A probabilistic approach for determining railway infrastructure capacity,"We consider the problem of determining the capacity of a planned railway infrastructure layout under uncertainties. In order to address the long-term nature of the problem, in which the exact (future) demand of service is unknown, we develop a ""timetable""-free approach to avoid the specification of a particular timetable. We consider a generic infra-element that allows a concise representation of many different combinations of infrastructure, safety systems and traffic regimes, such as mixed double and single track lines (e.g., a double track line including a single tunnel tube), and train operations on partly overlapping routes at station yards. We translate the capacity assessment problem for such a generic infra-element into an optimization problem and provide a solution procedure. We illustrate our approach with a capacity assessment for the newly built high-speed railway line in The Netherlands. © 2002 Elsevier Science B.V. All rights reserved.","Heidergott, B.F.",European Journal of Operational Research,"SDG 9 - Industry, Innovation, and Infrastructure"
https://doi.org/10.1016/j.ijpe.2012.05.017,A problem-adjusted genetic algorithm for flexibility design,"Many present markets for goods and services have highly volatile demand due to short life cycles and strong competition in saturated environments. Determination of capacity levels is difficult because capacities often need to be set long before demand realizes. In order to avoid capacity-demand mismatches, operations managers employ mix-flexible resources which allow them to shift excess demands to unused capacities. The Flexibility Design Problem (FDP) models the decision on the optimal configuration of a flexible (manufacturing) network. FDP is a difficult stochastic optimization problem, for which traditional exact approaches are not able to solve but the smallest instances in reasonable time. We develop a Flexibility Design Genetic Algorithm (FGA) that exploits qualitative insights into the structure of good solutions, such as the well-established chaining principle, to enhance its performance. FGA is compared to a commercial solver, a simple GA, and a Simulated Annealing local search on instances of up to 15 demand types and resources. Experimental evidence shows that the proposed approach outperforms the competing methods with respect to both computing time and solution quality.","Vigo, D.",International Journal of Production Economics,"SDG 9 - Industry, Innovation, and Infrastructure (+1 more)"
